wavenumber,mean,std
927.0185728,675.4773152480001,253.68745397343454
929.2346041,675.483441892,253.72811102738982
931.4506354,676.8784808080001,256.3710933489648
933.6666667,677.523248084,257.49393579939755
935.8826979,674.8775828920001,256.6084668177275
938.0987292,676.376645116,257.1656350936845
940.3147605,675.030324632,263.15915390915524
942.5307918,675.3967887240001,262.74941855909725
944.7468231,675.7584793399999,262.5754520217434
946.9628543,676.1909925400001,268.00216389275545
949.1788856,677.0046872759999,269.26322291584177
951.3949169,679.400042408,267.97778345060357
953.6109482,680.0901776120002,269.1776603490748
955.8269795,679.84234872,270.58259669596424
958.0430108,680.519963276,271.53290820646407
960.259042,681.6759087320002,271.84931597214694
962.4750733,683.362008964,271.91939457297184
964.6911046,685.939164772,272.6628553413777
966.9071359,687.158233196,272.80522137431205
969.1231672,686.68713862,275.52275109978166
971.3391984,689.600367552,275.8706478197654
973.5552297,687.811391952,273.2992976088963
975.771261,686.214915944,270.16730222377595
977.9872923,688.0535583,265.01110462677246
980.2033236,684.2624197439999,268.39618419171313
982.4193548,683.8154608919999,265.0806921172406
984.6353861,684.6866200640001,264.77622881365164
986.8514174,683.0965020560001,262.20185970495214
989.0674487,683.0700964800001,261.6816725808415
991.28348,686.501577712,261.93953450000936
993.4995112,688.6649509519998,263.2326212142295
995.7155425,690.764147068,265.4280407494349
997.9315738,693.277602348,269.0100499241126
1000.147605,693.1492279799999,270.66493979991736
1002.363636,689.2078517040001,270.1128201934323
1004.579668,684.2636909720001,271.0661700885351
1006.795699,681.0065380360002,273.2464144157101
1009.01173,680.008585016,274.32985984984845
1011.227761,680.1548741239999,274.97587798544663
1013.443793,678.371055372,272.93747344147937
1015.659824,680.9497937240001,270.7060442867031
1017.875855,681.106135972,272.0012691926849
1020.091887,681.4786207039999,270.4943210493893
1022.307918,684.3838503799999,276.84836357107895
1024.523949,687.61050656,278.1118114907354
1026.73998,691.0367690239999,278.32851619054907
1028.956012,694.8178209760001,279.92989075136825
1031.172043,695.920776332,282.26183348803414
1033.388074,694.54535972,278.89824777921393
1035.604106,694.7168508320001,276.05081646761806
1037.820137,695.2384021199999,275.5314176912037
1040.036168,696.2954754440001,277.6027603755942
1042.252199,696.7874627080001,282.5195816890533
1044.468231,695.9840021000001,285.27258454366444
1046.684262,696.523228352,288.70806286844527
1048.900293,698.607950076,294.325617790332
1051.116325,701.4501795679998,299.27319084956576
1053.332356,705.1063919679999,302.8236932167533
1055.548387,708.6363266080001,304.35955407795154
1057.764418,711.630850864,304.1635028736332
1059.98045,712.619152484,302.60797117707364
1062.196481,711.9216407719999,303.1523213196834
1064.412512,710.665381128,301.0807970742887
1066.628543,712.9408979079999,301.33451201041095
1068.844575,715.316367496,302.6847263252562
1071.060606,718.62665872,306.6565769762944
1073.276637,722.19421766,307.0186047561178
1075.492669,720.05389598,309.46203656054405
1077.7087,722.272747264,308.5172409051697
1079.924731,723.8285675599999,305.116528291852
1082.140762,723.928612944,295.95293448475593
1084.356794,727.8308155480001,292.2615370855238
1086.572825,731.803523132,290.62712405908076
1088.788856,739.364008352,290.3750290008115
1091.004888,748.905725576,293.0249401218761
1093.220919,767.312715564,296.423753639469
1095.43695,785.0422504720002,303.36332048803615
1097.652981,787.1155532079999,307.0306938982123
1099.869013,777.725640208,307.24919929515755
1102.085044,765.299023352,306.8424891916734
1104.301075,756.255259044,308.69609054431976
1106.517107,752.967117036,311.2822615320268
1108.733138,752.187499828,313.6084086238671
1110.949169,753.876985596,318.44660477850147
1113.1652,758.5004368520001,321.9853297244228
1115.381232,763.122150212,321.16860380420115
1117.597263,768.820489064,320.17250585494924
1119.813294,775.8577955439999,323.3487044999066
1122.029326,781.1278410919999,323.7534059473585
1124.245357,783.754559436,330.74600759612997
1126.461388,783.675606096,336.0595231802973
1128.677419,781.4840012679998,345.6090466274483
1130.893451,777.1959491519999,355.4864784330077
1133.109482,777.6322865039999,372.8645554414156
1135.325513,774.5340532160002,381.00908129063106
1137.541544,777.4071523239999,403.2169727451911
1139.757576,782.455333128,418.39399758819246
1141.973607,782.3187409719999,429.67995123755514
1144.189638,786.1305229800001,428.9932140094909
1146.40567,788.6258222319999,420.74403259274055
1148.621701,793.056426788,417.9335235134025
1150.837732,794.706347728,414.08594944863376
1153.053763,798.7567332799999,413.3581488842443
1155.269795,799.882106068,414.97663394415594
1157.485826,798.455916292,420.4328596384743
1159.701857,793.856740424,421.7383232493024
1161.917889,794.870013624,424.25164508379316
